"throughfall.mm" "gross.prec.mm" "obs.date" "period" "funnel.id" "funnel.X.m" "funnel.Y.m" "canopy" "abs.distance" "rel.distance" "tree.id" "tree.X.m" "tree.Y.m" "species" "tree.height.m" "tree.dbh.cm" "crown.radius.m" "crown.beginning.m"
"211" 0.05 1.64 "2006-07-21" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"212" 0.4 5 "2006-08-28" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"213" 0.2 2.2 "2006-08-04" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"214" 0.1 1 "2006-05-23" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"215" 0.5 2.8 "2006-05-19" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"216" 0.3 1.5 "2006-08-21" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"217" 0.6 2.3 "2006-07-24" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"218" 0.6 2 "2006-05-31" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"219" 1.2 3.8 "2006-07-08" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"220" 1.3 3.8 "2006-06-01" "leafed" 102 37.9016744540717 33.6956072093062 "spruce" 1.7865 0.519860323003056 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
